 Vendor,Fund,Check #,Date,Amount
NEW IMAGE LANDSCAPE COMPANY,SBL - SOUTHTOWN,579370,2026-04-09T00:00:00.000,2550.00
NEW IMAGE LANDSCAPE COMPANY,SBL - NORTH VILLAGE,579370,2026-04-09T00:00:00.000,790.00
NEW IMAGE LANDSCAPE COMPANY,MN - ORANGE DRIVE,579370,2026-04-09T00:00:00.000,495.00
NEW IMAGE LANDSCAPE COMPANY,SBL - STONEGATE,579370,2026-04-09T00:00:00.000,575.00
NEW IMAGE LANDSCAPE COMPANY,SBL - STONEGATE,579370,2026-04-09T00:00:00.000,644.74
NEW IMAGE LANDSCAPE COMPANY,SBL - BRIGHTON LANDING,579370,2026-04-09T00:00:00.000,545.00
NEW IMAGE LANDSCAPE COMPANY,GENERAL FUND,579370,2026-04-09T00:00:00.000,460.00
NEW IMAGE LANDSCAPE COMPANY,SBL - NORTH VILLAGE,579370,2026-04-09T00:00:00.000,596.51
NEW IMAGE LANDSCAPE COMPANY,SBL - COUNTRYWOOD,579370,2026-04-09T00:00:00.000,565.23
"VESTIS GROUP, INC.",GENERAL FUND,579300,2026-04-09T00:00:00.000,124.82
"GEOSYNTEC CONSULTANTS, INC.",GENERAL FUND,579345,2026-04-09T00:00:00.000,6714.59
STERLING MAY EQUIPMENT CO INC.,GENERAL FUND,579393,2026-04-09T00:00:00.000,136.90
STERLING MAY EQUIPMENT CO INC.,GENERAL FUND,579393,2026-04-09T00:00:00.000,36.17
CALMAT CO.,GENERAL FUND,579301,2026-04-09T00:00:00.000,1378.89
CALMAT CO.,GENERAL FUND,579301,2026-04-09T00:00:00.000,2236.74
CALMAT CO.,GENERAL FUND,579301,2026-04-09T00:00:00.000,2469.57
CALMAT CO.,GENERAL FUND,579301,2026-04-09T00:00:00.000,1136.49
GRILL BROTHERS PARTNERSHIP,GENERAL FUND,579304,2026-04-09T00:00:00.000,190.68
VACA VALLEY EXCAVATING & TRUCKING INC.,GENERAL FUND,579298,2026-04-09T00:00:00.000,11253.87
ROSS RECREATION EQUIPMENT CO INC.,GENERAL FUND - MEASURE M,579295,2026-04-09T00:00:00.000,954.66
HORIZON,GENERAL FUND,579277,2026-04-09T00:00:00.000,676.34
HORIZON,GENERAL FUND,579277,2026-04-09T00:00:00.000,68.32
HORIZON,NP - ALAMO CREEK,579277,2026-04-09T00:00:00.000,521.77
HORIZON,NP - ALAMO CREEK,579277,2026-04-09T00:00:00.000,524.69
HORIZON,NP - ALAMO CREEK,579277,2026-04-09T00:00:00.000,87.88
HORIZON,NP - NORTH VILLAGE,579277,2026-04-09T00:00:00.000,97.76
HORIZON,NP - BRIGHTON LANDING,579277,2026-04-09T00:00:00.000,27.83
HORIZON,NP - BRIGHTON LANDING,579277,2026-04-09T00:00:00.000,97.76
HORIZON,NP - BRIGHTON LANDING,579277,2026-04-09T00:00:00.000,19.01
HORIZON,GENERAL FUND,579277,2026-04-09T00:00:00.000,5.04
HORIZON,GENERAL FUND,579277,2026-04-09T00:00:00.000,201.44
HORIZON,NP - RIDGEVIEW,579277,2026-04-09T00:00:00.000,14.11
HORIZON,NP - ALAMO CREEK,579277,2026-04-09T00:00:00.000,29.86
